2021 > Grade,Gender,Years at camp,Lead source,2021 > trip + section names (all),2021 > Enrolled sibling count,2021 > Is your child attending with a friend?,2021 ^Expectations,2021 ^Trip Length,2021 ^^Interested in Another Trip?,2021 ^^^^Leader Rating of Student,Changed Trip,rating,target
11th,Male,1,Friend,Kilimanjaro 2,0.0,Yes,Met expectations,Just Right,Yes,6,0,5,0
8th,Male,2,Friend,Belize+Costa Rica 2,0.0,Yes,Met expectations,Too Short,Yes,3,0,5,1
10th,Female,2,Friend,Spain+Morocco 3,0.0,Yes,Exceeded expectations,Just Right,Yes,4,0,5,0
12th,Male,2,Word of Mouth,Slovenia 1,0.0,No,Met expectations,Just Right,No,5,0,5,0
11th,Female,1,Friend,Hawaiian Islands 3,0.0,Yes,Met expectations,Just Right,Not Sure,6,0,5,0
11th,Male,4,Friend,Northern Lights 2,0.0,No,Exceeded expectations,Just Right,Yes,6,0,6,1
11th,Female,1,Friend,Kilimanjaro 3,0.0,No,Exceeded expectations,Just Right,Not Sure,5,1,5,0
10th,Male,2,Friend,Croatia 1,1.0,No,Exceeded expectations,Just Right,Not Sure,2,0,5,0
9th,Male,1,Friend,Belize+Costa Rica 1,1.0,Yes,Exceeded expectations,Just Right,Not Sure,6,0,5,0
10th,Female,2,Friend,Yellowstone 2,0.0,Yes,Exceeded expectations,Just Right,Yes,5,0,5,1
11th,Female,4,Friend,Kenya + Zanzibar 3,1.0,No,Met expectations,Too Short,Not Sure,5,0,5,0
8th,Male,2,Friend,Belize+Costa Rica 1,1.0,No,Met expectations,Just Right,Yes,4,0,5,1
12th,Male,2,Friend,Chamonix Alps 2,0.0,No,Exceeded expectations,Just Right,Yes,6,0,6,0
6th,Male,1,Family,California 1,0.0,No,Exceeded expectations,Just Right,Yes,5,0,6,0
8th,Female,3,Word of Mouth,Iceland 3,0.0,No,Met expectations,Just Right,Yes,5,1,5,1
11th,Female,2,I'm a Moondance Alumni,Kilimanjaro 4,0.0,No,Exceeded expectations,Just Right,Yes,6,0,6,1
6th,Male,1,Friend,California 1,0.0,Yes,Exceeded expectations,Just Right,Not Sure,6,0,5,0
10th,Male,4,I'm a Moondance Alumni,Fiji 1,0.0,No,Met expectations,Too Long,Not Sure,3,0,3,0
8th,Female,3,Friend,Belize+Costa Rica 2,0.0,Yes,Met expectations,Just Right,Yes,6,0,5,0
9th,Male,1,Friend,FIJ 3,0.0,No,Exceeded expectations,Just Right,Yes,5,1,6,0
7th,Male,3,Friend,British Columbia 1,0.0,Yes,Exceeded expectations,Just Right,Yes,6,0,5,1
9th,Male,1,Friend,MID3,0.0,No,Met expectations,Too Short,Yes,4,0,5,0
10th,Male,4,I'm a Moondance Alumni,Kenya + Zanzibar 1,0.0,No,Exceeded expectations,Just Right,Yes,6,0,6,0
11th,Female,1,Friend,Slovenia 1,0.0,No,Exceeded expectations,Just Right,Not Sure,6,0,6,0
10th,Male,1,Friend,Spain + Morocco 1,0.0,Yes,Exceeded expectations,Just Right,Not Sure,3,0,6,0
9th,Male,2,Friend,Pacific Northwest 1,0.0,No,Exceeded expectations,Just Right,Yes,6,0,6,1
9th,Female,3,Friend,Dolomites 3,0.0,No,Met expectations,Just Right,Yes,6,0,5,1
11th,Male,1,Friend,Chamonix 4,0.0,Yes,Exceeded expectations,Just Right,No,3,0,6,0
10th,Male,1,Friend,Fiji 1,0.0,No,Exceeded expectations,Too Short,Yes,6,0,6,0
11th,Male,3,Friend,Kenya + Zanzibar 1,0.0,No,Met expectations,Just Right,Yes,5,1,5,0
10th,Female,2,Advertisement,The Olympics 3,0.0,No,Met expectations,Just Right,Yes,5,0,5,1
12th,Female,4,Friend,Mystery Trip 1,2.0,No,Exceeded expectations,Just Right,No,6,1,6,0
